Custom_Age,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Bullied_in_school_0,Bullied_in_school_1,Bullied_outside_school_0,Bullied_outside_school_1,Cyber_bullied_0,Cyber_bullied_1,Sex_0,Sex_1,Most_of_the_time_or_always_felt_lonely_0,Most_of_the_time_or_always_felt_lonely_1,Missed_classes_or_school_without_permission_0,Missed_classes_or_school_without_permission_1,Were_underweight_No,Were_underweight_Yes,Were_overweight_No,Were_overweight_Yes,Were_obese_No,Were_obese_Yes
5,0,0,0,3,0,2,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,0,0,0,3,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,0,0,1,1,0,2,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,0,0,0,3,2,4,4,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
6,0,0,3,3,2,2,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0
4,0,0,3,2,1,2,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
5,0,0,2,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,2,1,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
5,0,0,2,2,0,4,4,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,0,0,0,0,0,1,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
5,0,0,2,3,0,4,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,0,0,2,3,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
7,2,2,0,3,1,4,2,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
5,1,0,1,2,1,3,4,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
6,0,0,1,3,0,4,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
7,0,0,2,0,0,3,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
5,0,0,1,3,0,1,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
5,7,0,2,3,1,4,4,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
6,0,0,0,3,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,0,0,0,3,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,2,3,1,4,4,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
6,0,0,0,3,0,4,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,7,7,0,3,0,4,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
5,0,0,2,0,0,2,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,1,2,3,3,0,3,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
5,0,0,0,3,0,4,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,0,0,3,2,0,1,4,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
5,7,7,3,2,2,2,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0
5,0,0,0,3,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
6,0,0,2,2,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
6,0,0,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,0,0,3,3,1,3,3,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
5,0,0,3,0,0,0,2,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
6,1,0,0,0,0,0,2,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,0,3,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,0,3,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,2,2,1,2,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0
7,2,0,3,3,1,2,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
7,0,0,1,3,0,4,4,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,1,3,0,3,4,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
7,0,0,2,3,0,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
7,0,5,0,3,1,2,3,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
6,0,0,1,3,0,4,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,0,0,1,3,1,4,4,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
6,0,0,2,3,0,1,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,2,3,3,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
7,0,0,0,3,0,0,3,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
6,0,0,3,2,1,1,3,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
6,0,0,1,3,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
6,0,0,2,3,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,1,3,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
7,0,1,0,3,2,2,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
4,0,7,1,3,2,3,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
2,3,1,2,3,1,2,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
3,0,0,0,3,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,3,0,3,0,0,3,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
4,0,0,0,3,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,1,0,3,0,4,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,0,1,0,3,0,4,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,7,0,4,3,0,2,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
3,1,2,0,1,1,3,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
3,0,1,0,3,0,3,3,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,0,0,2,3,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,0,3,1,3,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
4,0,0,0,3,0,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,0,0,2,3,0,2,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,0,3,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,3,3,0,2,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0
3,2,2,0,3,0,2,3,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,0,0,1,2,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,0,3,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
4,0,0,2,3,0,3,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,2,3,2,2,3,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
3,0,0,1,3,1,1,3,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
4,0,0,0,3,0,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,0,3,4,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
3,0,0,0,3,0,0,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,1,1,2,3,0,3,4,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,1,2,1,3,3,0,3,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
4,0,0,1,3,0,2,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
5,0,0,2,3,1,3,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
4,0,0,0,3,0,3,2,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
5,0,0,1,3,3,3,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
4,0,0,0,3,0,3,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
4,0,0,0,3,2,4,4,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
5,0,0,4,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
4,0,0,2,3,2,4,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
4,0,1,0,1,2,2,4,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
3,1,0,0,3,0,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1
5,0,0,2,3,0,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
5,2,1,1,2,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,0,1,2,3,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,1,2,3,1,0,1,2,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
5,0,0,1,3,0,0,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,0,0,1,3,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,0,0,0,2,0,3,4,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,0,0,0,3,0,4,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
4,0,0,1,3,1,0,2,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
4,0,0,0,3,0,3,4,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,0,0,1,3,0,3,3,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,0,0,1,3,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
4,0,0,1,3,0,2,3,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
6,0,1,1,3,0,3,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,7,2,4,3,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0
4,0,0,0,3,0,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,0,0,1,2,0,3,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
5,0,0,2,2,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0
4,0,0,2,3,0,2,2,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,7,5,3,1,1,2,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0
5,0,0,2,2,1,3,2,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
5,0,0,0,3,0,2,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1
5,0,0,1,1,0,2,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,0,0,1,3,0,3,2,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
6,0,0,3,2,0,1,2,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
5,1,2,0,3,0,2,3,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
5,0,0,1,3,1,2,3,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
5,2,4,0,3,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0
6,0,0,0,3,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
5,0,2,1,3,0,3,3,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
5,0,0,3,2,0,1,3,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
5,0,0,1,3,1,3,3,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
6,0,0,1,3,0,3,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
5,0,0,1,3,0,0,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,0,0,2,3,1,0,2,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
5,0,2,3,3,0,3,2,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0
5,0,0,4,1,0,1,2,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
5,0,7,2,1,0,4,2,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
5,0,0,3,1,0,2,3,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
5,1,0,0,3,0,4,4,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
5,0,0,0,3,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,0,1,0,3,0,4,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,0,0,0,3,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,1,1,0,3,4,4,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
5,0,0,2,3,0,3,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,0,0,2,3,1,4,4,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
5,0,0,2,2,0,0,2,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,3,3,2,3,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,0,7,0,3,0,3,2,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
6,0,0,1,2,0,3,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,0,1,4,2,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
6,0,0,3,3,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
7,0,0,1,3,0,4,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,0,0,4,3,4,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
6,0,0,2,3,0,4,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,0,0,1,3,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,3,0,1,2,1,3,4,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
6,0,0,1,3,1,2,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0
6,0,0,2,3,0,2,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
8,1,0,1,3,0,3,2,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,2,2,1,0,2,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
6,0,0,2,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
7,0,0,0,3,0,3,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,0,0,0,3,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
6,0,1,3,3,0,4,3,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
6,0,0,3,3,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
6,0,0,0,3,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
7,0,0,1,3,0,3,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,0,0,1,1,0,3,3,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1
6,0,0,2,1,2,2,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
6,0,0,0,3,0,4,4,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
7,0,0,2,3,0,3,3,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
7,1,1,1,3,1,2,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
7,0,0,0,3,2,2,4,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
8,0,1,3,3,0,1,2,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
7,0,0,0,2,1,4,4,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
6,0,0,2,3,0,2,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,0,0,3,2,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
6,0,0,1,0,4,2,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
6,0,0,1,3,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
7,0,0,1,3,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
8,0,0,2,1,3,4,2,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
6,0,0,2,0,0,3,3,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
6,0,0,4,3,4,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1
6,2,0,3,3,2,3,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0
6,0,0,2,0,0,0,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,1,3,2,3,2,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
6,0,0,1,3,0,4,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,3,1,1,2,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
7,0,1,1,3,0,3,2,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
7,0,0,4,3,0,4,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
6,0,0,4,1,0,2,3,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
6,0,0,2,3,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,0,0,2,3,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
7,0,0,3,2,0,2,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
7,1,0,2,3,1,0,4,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
4,0,0,2,3,1,2,4,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
3,0,1,4,3,0,3,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
3,1,0,4,3,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0
3,0,0,3,2,0,3,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
5,0,0,1,3,0,3,4,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
4,0,2,2,3,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,2,3,0,0,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,0,0,1,1,0,1,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,0,0,0,3,0,1,4,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,0,3,0,2,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,0,0,2,3,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
5,0,3,0,3,0,1,4,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,0,0,0,1,1,0,4,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
3,0,0,4,3,1,3,4,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0
4,0,0,0,3,0,4,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
4,0,1,1,3,3,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
4,0,0,2,1,0,2,4,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,0,0,3,1,1,3,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
5,0,0,1,3,1,3,4,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
5,0,0,3,1,1,3,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0
4,0,0,2,2,0,3,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1
5,0,0,0,1,0,2,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,0,3,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
4,2,2,3,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
4,1,1,1,3,0,0,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,0,1,1,3,4,2,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
7,0,0,1,1,1,2,2,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
7,2,1,0,3,0,2,4,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
5,1,0,3,2,0,2,4,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0
5,0,0,2,3,0,3,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
6,1,0,3,3,1,3,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0
5,0,0,2,1,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
5,0,0,2,1,0,1,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,2,3,1,3,3,4,4,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
5,0,3,2,0,2,4,4,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
7,1,0,2,3,0,4,4,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
5,0,0,0,3,0,1,4,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
5,0,1,0,3,0,3,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
6,0,0,0,2,0,1,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,2,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
6,0,2,2,3,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,0,3,0,0,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,1,1,2,3,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,2,1,0,2,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
7,0,0,0,3,1,3,4,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
6,0,7,0,3,0,4,3,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
5,0,0,1,1,2,3,3,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
5,0,0,0,3,0,1,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,0,0,0,3,0,3,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,0,0,1,3,0,3,3,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,0,0,1,3,0,3,2,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
4,1,1,0,3,0,2,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
4,0,0,1,3,4,3,2,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
3,0,0,0,3,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,0,1,4,3,1,0,2,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
3,0,0,0,1,0,0,2,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,0,0,1,0,1,2,3,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
4,0,0,4,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0
3,0,0,0,3,0,0,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,0,0,4,0,0,0,4,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
4,0,0,0,2,1,2,3,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
3,0,0,1,3,0,3,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,0,0,2,2,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,0,3,0,3,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
5,0,1,2,3,1,2,3,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
3,0,1,2,3,0,2,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
4,0,0,0,3,0,0,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,2,2,0,3,4,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,0,0,2,3,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,2,0,3,0,0,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,0,0,0,3,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,2,3,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
4,0,1,0,2,1,4,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0
4,0,0,2,3,1,3,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
4,0,4,3,0,0,2,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0
5,0,0,0,3,0,4,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
5,0,0,2,3,2,3,4,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
4,0,0,2,1,0,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
